"subject_type","subject_source","subject_id","predicate","object_type","object_source","object_id","qualifier","remarks"
"recordings","","8984","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17014","",""
"recordings","","8984","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8985","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","101","",""
"recordings","","8985","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16055","",""
"recordings","","8985","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8986","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8986","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16981","",""
"recordings","","8986","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8987","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8987","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16983","",""
"recordings","","8987","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8988","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8988","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16979","",""
"recordings","","8988","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8989","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8989","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16980","",""
"recordings","","8989","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8990","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8990","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16977","",""
"recordings","","8990","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8991","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8991","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16978","",""
"recordings","","8991","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8992","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","101","",""
"recordings","","8992","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16056","",""
"recordings","","8992","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8993","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8993","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16978","",""
"recordings","","8993","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8994","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8994","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8995","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8995","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16980","",""
"recordings","","8995","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8996","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8996","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8997","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","335","",""
"recordings","","8997","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","15386","",""
"recordings","","8998","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","86","",""
"recordings","","8998","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16979","",""
"recordings","","8998","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","8999","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","101","",""
"recordings","","8999","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16055","",""
"recordings","","8999","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9000","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","101","",""
"recordings","","9000","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","16055","",""
"recordings","","9001","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","102","",""
"recordings","","9001","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17097","",""
"recordings","","9001","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9002","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","102","",""
"recordings","","9002","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17097","",""
"recordings","","9002","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9003","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","95","",""
"recordings","","9003","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17110","",""
"recordings","","9003","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9004","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","95","",""
"recordings","","9004","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17110","",""
"recordings","","9004","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
"recordings","","9005","http://purl.obolibrary.org/obo/IAO_0000136","taxa","","95","",""
"recordings","","9005","http://rs.tdwg.org/ac/terms/associatedSpecimenReference","specimens","","17109","",""
"recordings","","9005","http://rs.tdwg.org/dwc/iri/inDescribedPlace","locations","","11164","",""
