"id","title","file","subtype","creator","license","post_date","type","size_raw","width","height","caption"
"25733","20171005143344.jpg","https://bio.acousti.ca/sites/default/files/20171005143344.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2275798","2866","2024",""
"25734","20171005143402.jpg","https://bio.acousti.ca/sites/default/files/20171005143402.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2415521","2866","2024",""
"25735","20171005143428.jpg","https://bio.acousti.ca/sites/default/files/20171005143428.jpg","Original metadata scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","1023870","2338","1654",""
"25736","20171005143446.jpg","https://bio.acousti.ca/sites/default/files/20171005143446.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2505439","2866","2024",""
"25737","20171005143505.jpg","https://bio.acousti.ca/sites/default/files/20171005143505.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2648767","2866","2024",""
"25758","IMG_0007.jpg","https://bio.acousti.ca/sites/default/files/IMG_0007.jpg","Photograph","Hillery B. Warner","https://creativecommons.org/licenses/by/4.0/","2019-09-11 03:00","image/jpeg","2017359","1537","2049",""
"26241","20171116143650.jpg","https://bio.acousti.ca/sites/default/files/20171116143650.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3447700","2338","1654",""
"26242","20171116143711.jpg","https://bio.acousti.ca/sites/default/files/20171116143711.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2237029","2338","1654",""
"26243","20171116143728.jpg","https://bio.acousti.ca/sites/default/files/20171116143728.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2141250","2338","1654",""
"26249","20171116143813.jpg","https://bio.acousti.ca/sites/default/files/20171116143813.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3466821","2338","1654",""
"26250","20171116143829.jpg","https://bio.acousti.ca/sites/default/files/20171116143829.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2585614","2338","1654",""
"26251","20171116143849.jpg","https://bio.acousti.ca/sites/default/files/20171116143849.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","2495481","2338","1654",""
"26252","20171116143937.jpg","https://bio.acousti.ca/sites/default/files/20171116143937.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3250087","2338","1654",""
"26253","20171116144000.jpg","https://bio.acousti.ca/sites/default/files/20171116144000.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","4559639","2866","2024",""
"26255","20171116144021.jpg","https://bio.acousti.ca/sites/default/files/20171116144021.jpg","Original trace scan","","https://creativecommons.org/licenses/by-nc-sa/4.0/","2019-09-11 03:00","image/jpeg","3995227","2866","2024",""
