"id","name","continent","countryCode","stateProvince","county","island","islandGroup","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","info_url"
"53208","Australia: Queensland: Tannymorel","Australasia","AU","Queensland","","","","","-28.28","152.25","","","","","","https://bio.acousti.ca/node/53208"
"53210","Australia: Queensland: Hurdle Gully","Australasia","AU","Queensland","","","","","-24.9","151.08","","","","","","https://bio.acousti.ca/node/53210"
"53212","Australia: Queensland: Mt French","Australasia","AU","Queensland","","","","","-28","152.62","","","","","","https://bio.acousti.ca/node/53212"
"53214","Australia: Queensland: Yarraman","Australasia","AU","Queensland","","","","","-26.82","151.95","","","","","","https://bio.acousti.ca/node/53214"
"53216","Australia: Northern Territory: 8km W Alice Springs","Australasia","AU","Northern Territory","","","","","-23.7","133.8","","","","","","https://bio.acousti.ca/node/53216"
"53219","Australia: Queensland: Herberton","Australasia","AU","Queensland","","","","","-17.35","145.42","","","","","","https://bio.acousti.ca/node/53219"
"53221","Australia: Queensland: Laura River","Australasia","AU","Queensland","","","","","-15.58","144.45","","","","","","https://bio.acousti.ca/node/53221"
"53223","Australia: Northern Territory: Musselbrook","Australasia","AU","Northern Territory","","","","","-18.62","137.98","","","","","","https://bio.acousti.ca/node/53223"
"53225","Australia: Queensland: Surat","Australasia","AU","Queensland","","","","","-27.15","149.07","","","","","","https://bio.acousti.ca/node/53225"
"53587","Europe: United Kingdom: England: London: NHm Dermestarium","","","","","","","","","","","","","","","https://bio.acousti.ca/node/53587"
"53590","Africa: South Africa: Wits Rural Facility","Africa","ZA","","","","","","-24.551389","31.09725","","","","","","https://bio.acousti.ca/node/53590"
"53595","Africa: Morocco: Agadir: Agadir Beach (Flowerbed)","Africa","MA","","","","","Flowerbed by beach walkway.","30.3974","-9.6","","","","","","https://bio.acousti.ca/node/53595"
"57311","Europe: United Kingdom: England: Devon: Plymouth, Mayflower Marina","Europe","GB","England","Devon","","","Plymouth, Mayflower Marina","50.363","-4.1677","","","","","","https://bio.acousti.ca/node/57311"
"57313","Europe: United Kingdom: England: English Channel: Cawsand Bay","Australasia","GB","","","","","","50.332","4.1895","","","","","","https://bio.acousti.ca/node/57313"
"57315","Europe: United Kingdom: England: English Channel: L4 Buoy","","","","","","","","50.2497","-4.2195","","","","","","https://bio.acousti.ca/node/57315"
"57318","Europe: United Kingdom: England: English Channel: E1 Buoy","","","","","","","","5.04227","-4.36447","","","","","","https://bio.acousti.ca/node/57318"
"57320","Europe: United Kingdom: England: English Channel: Pelican 1","","","","","","","","50.1579","-3.5617","","","","","","https://bio.acousti.ca/node/57320"
"57322","Europe: United Kingdom: England: Devon: Dartmouth","Europe","GB","England","Devon","","","Darthaven","50.3497","-3.5756","","","","","","https://bio.acousti.ca/node/57322"
"57329","Europe: United Kingdom: England: English Channel: Pelican STF1 Underway (between Cawsand Bay & Fowey)","","","","","","","","50.27","-4.35","","","","","","https://bio.acousti.ca/node/57329"
"57331","Europe: United Kingdom: England: Cornwall: Fowey Harbour","","","","","","","","50.33","-4.633","","","","","","https://bio.acousti.ca/node/57331"
"57401","ColinSite1","","","","","","","","","","","","","","","https://bio.acousti.ca/node/57401"
"58141","Europe: United Kingdom: England: Surrey: RHS Wisley","","","","","","","","51.3117302690326","-0.476102828979492","","","","","","https://bio.acousti.ca/node/58141"
"58426","Europe: United Kingdom: England: Bristol: UNP Bristol Community Garden Pond","","GB","England","","","British Isles","Pond in Bristol Community Garden","51.40666","-2.59111","","","","","","https://bio.acousti.ca/node/58426"
