"id","topic","value","info_url"
"15181","behaviour","<p>Calling song fundamental frequency 3512 +/- 107 Hz, n = 33, pulse length 6-8 msec., pulse interval 30 msec. at 9oC. to 14 msec at 14oC. but also dependent on time after start of singing period (fig. 3D and 3E). Song a continuous trill of musical note A7 ASA. Intensity of song 2 to 10 x W.m.-a (83 to 90dB) at 1 m. vertically above mouths of burrow.</p>
<p><br />
	Singing burrow with two openings each 30 mm. diarn., separated by a distance, centre to centre, of 40mm. Passages leading to surface merge about 45 mm. below surface. The common passage runs horizontally for about 40mm. and then opens into a spherical chamber about 30 mm. diam.. from which a tunnel about I5 mm. diam. communicates with rest of burrow. Burrow flares exponen- tially out from spherical chamber, its cross sectional area doubling about every I5rnm. of its length (fig. 4D, E and F).</p>","https://bio.acousti.ca/node/15181"
"15285","behaviour","<p>The calling song of the male of E. lobulatum consists of short double-clicks (&ldquo;zic-zic&rdquo;) of together about 280 &ndash; 352 ms (mean 308.65 ms &plusmn; 22.63 ms (s.d.), median 309 ms, n = 26). The time from the beginning of the first to the beginning of the second click was rather constant, between 160 &ndash; 169 ms (mean 163.96 ms &plusmn; 2.07 ms, median 164 ms (s.d.), n = 26). The song is rather loud even to the human ear, with a peak frequency between 6.5 and 8.5 kHz and a second quieter maximum between 13.5 and 14.5 kHz (Fig. 4A&ndash;D). </p>","https://bio.acousti.ca/node/15285"
"16412","behaviour","<p>Song. Short loud chirps produced irregularly with long gaps of silence during night hours </p>","https://bio.acousti.ca/node/16412"
"17159","behaviour","<p>The faint calling song of the male, produced mainly in the evening and at night, consists of isolated syllables, often separated by irreguular intervals but sometimes repeated more regularly at intervals of about 1-4s. Occasionally, well-defined echemes are also produced, each composed of about 8-20 syllables repeated at the rate of about 6-10/s. Each syllable in such an echeme lasts for about 50-100ms, but isolated syllables are often shorter than 50ms. Heller (1998) has shown that Phaneroptera is most unusual among Tettigoniidae in producing sound only during the opening strokes of the fore wings, so that all the song components are opening hemisyllables. </p>","https://bio.acousti.ca/node/17159"
"17160","behaviour","<p>The male calling song, heard mainly at dusk and during the night, is very similar to that of <em>P. falcata</em>, consisting of isolated syllables repeated, often quite irregularly, at intervals within the range 1-3s. Each syllable lasts for about 50-150ms and usually consists of 2-7 tooth impacts. Heller (1998) has shown that, as in <em>P. falcata</em>, the sound is produced entirely by the opening stroke of the fore wings.</p>
<p>We have not heard this species produce the clearly-defined echemes that seem to be a normal component of the calling song of <em>P. falcata</em>.</p>","https://bio.acousti.ca/node/17160"
"17163","behaviour","<p>The male calling song usually consists of short echemes of about 2-5 &#39;tick&#39;-like syllables. The syllables in each echeme are separated by untervals of about 300-700ms and the echemes are repeated at rather irregular and much longer intervals, usually between 10 and 70s. Each syllable is very short-lived, usually lasting less than 10ms, and seems to consist of only a few tooth impacts, usually 3-6 but occassionally up to 10 or more. Sometimes one or more (most often the first) of the syallables in an echeme lasts rather longer, up to 100ms, with the component sounds more widely spaced.</p>
<p>One Corsican male studied produced (in darkness) long sequences of ungrouped syllables repeated at intervals of about 1-2s. Each syllable lasted 50-70ms.</p>","https://bio.acousti.ca/node/17163"
"17165","behaviour","<p>In warm conditions the male calling song, heard most often in the evening and at night, is a dense echeme of diplosyllables followed immediately by a characteristic &#39;click&#39;. The echeme usually lasts between 1s and 3s, but at very high temperatrures can be as short as 0.5s. The sylllables are repeated at the rate of about 30-50/s,ally accelerating slightly and becoming louder duringthe course of the echeme. In the songs studied the number of syllables in one echeme varied from 20 to 90. The echemes are sometimes repeated at irregular intervals, but can be repeated more regularly for short periods.</p>
<p>Oscillographic analysis shows that there are opening and closing hemisyllables, sometimes of equal loudness and duration (especially towards the end of the echeme), but more often (at least in the earlier part of the echeme) the opening hemisyllables are slightly louder and longer than the closing ones. Each diplosyllable usually lasts 20-30ms, but in hot conditions can be a little shorter than this. The main echeme usually ends in a slightly prolonged closing hemisyllable; there is then a very brioef interval (about 20-80ms) followed by a further, &#39;click-like&#39;, closing hemisyllable, usually lasting 15-50ms. Heller (1998) has shown that the fore wings are vibrated in a relatively open position during the main echeme and that the final &#39;click&#39;; is produced when they return to a closed position.</p>
<p>Willemse (1979: 136), referring to <em>AcrometopaI in general</em>, gives the duration of an echeme as 5-10ms. Our own experience suggests that <em>A. servillea</em> would produce such long echemes only in very cool conditions.</p>","https://bio.acousti.ca/node/17165"
"17166","behaviour","<p>P. falcatacanta soprattutto alla sera e di notte. Il canto &egrave; composto da corte&nbsp; sillabe ripetute regolarmente. La frequenza della ripetizione &egrave; al massimo di circa 1 al sec. A volte le sillabe sono raggruppate in versi ben definiti di circa 1-3 sec.</p>
<p>The song consists of series of more or less regularly repeated short &quot;zb&quot;-sounds (syllables). Repetion rate at maximum is about 1/s. The syllables are sometimes grouped in well-defined echemes of about 1-3s.</p>","https://bio.acousti.ca/node/17166"
"17278","behaviour","<p>The quiet male calling song, produced mainly in the evening and at night, is a series of syllables repoeated at the rate of about 0.6-1.5/s. The main part of each syllable lastas baout 70-120 ms and is often followed after an interval of about 80-250 ms by a very brief &#39;after-tick&#39;.</p>","https://bio.acousti.ca/node/17278"
"17280","behaviour","<p>The male calling song is similar in general pattern to that of <em>I. pyrenaea</em>, but the main part of each syllable is much longer, about 250-330 ms, and the syllables are repated more rapidly, about 2/s. &#39;After-ricks&#39; are also usually present, following the main part of the syllable after an interval of about 70-130 ms.</p>","https://bio.acousti.ca/node/17280"
"17282","behaviour","<p>The quiet and mainly nocturnal male calling song consists of sequences of &#39;itck&#39;-like syllables lasting about 3-5 s and separated by intervals of about 4 s or more. Within each sequence the syllables are grouped into a characteristic rhythym. There are usally 3-5 groups, each containing 1-4 syllables; the groups are separated by intervals of about 400-800 ms, and within each group the syllables are separated by intervals of about 60-120 ms. Each &#39;tick&#39;-like syllable is produced by a closibng stroke of the fore wings lasting about 6-10 ms.</p>","https://bio.acousti.ca/node/17282"
"17284","behaviour","<p>The male calling song is similar to that of <em>B. serricauda</em> except for the shorter duration of the sequence, usually 1-2s, and the way in which the syllables are grouped within each sequence. In <em>B. obtusus</em> most of the groups are of five or six syllables, though the last one or two groups in each sequence are of ten of only one or two. Sometimes the first syllable in one or more of the larger groups is separated from the others by a rather longer interval, so that it could be regarded as an ungrouped syllable. The intervals between groups are of about 140-270 ms and bwteen syllables within a group about 25-120 ms; each syllable is produced by a closing stroke lasting 6-13 ms.</p>","https://bio.acousti.ca/node/17284"
"17293","behaviour","<p>The advertisement call of <em>Phyllodytes megatympanum</em> is composed of a series of 10 to 19 unpulsed notes (n = 19 calls analyzed) with harmonic structure. Each note has seven visible harmonics and crescent modulation frequency. The first notes are shorter than the following ones, which are more intense. Notes show amplitude modulation from the beginning to the middle, when it decreases. The mean duration of each call is 5.913 &plusmn; 4.556 s (3.206&ndash;23.633 s; n = 19 calls) emitted in intervals of 30.904 &plusmn; 10.313 s (6.960&ndash;47.580 s; n = 15 intervals). The notes present mean duration of 0.092 &plusmn; 0.080 s (0.009&ndash;0.245 s; n = 254 notes) and are emitted at intervals of 0.305 &plusmn; 0.100 s (0.105&ndash;0.619; n = 235 intervals). The mean dominant frequency is 3.985 &plusmn; 0.136 kHz (3.562&ndash;4.125 kHz; n = 113 notes analyzed) and corresponds to the second harmonic. Due to its ascendant modulation, the frequency at the beginning of the second harmonic is lower than the frequency towards the end of it, raising a mean bandwidth of 0.8 kHz.</p>","https://bio.acousti.ca/node/17293"
"47351","behaviour","<p>Males and females produce sounds, when held in the hand. Our very preliminary sonagrams show that these sounds last up to approx. 1 s and are interrupted by breaks of various length. Sounds of males consist of rather regular syllables, each of which contains two elements. Number of syllables may vary (Fig. 3 A). In females the sounds are noisier and syllables are less regular over time (Fig. 3 B). Sounds are broadband reaching &lt; 500 Hz to about 4.5 kHz in the male (Fig. 3 A) and &lt; 500 Hz to approx. 4.0 kHz in the female (Fig. 3 B). The stridulatory apparatus is located at the bases of the overlapping tegmina (Fig. 4 A). Sounds are produced by rubbing a file of teeth ( pars stridens) on a scraper ( plectrum). These elements differ considerably in males and females. In males the pars stridens &ndash; clearly visible already at low magni fi cation (Fig. 4 B) &ndash; is a modi fi ed vein on the underside of the left tegmen base. Teeth of the fi le look like small lamellae, are very similar to each other, but become smaller towards the ends of the file (Fig. 4 D, E). The highly sclerotized scraper ( plectrum) is located on the upper surface of the right tegmen close to the so-called mirror, i. e. an area, approximately 3 mm long and 2 wide with a thin and clear cuticle surrounded by a framework of thickened, smooth veins (Fig. 4 C, F, G). In the female the upper surface of the right tegmen bears several transversal veins branching off from a longitudinal vein. The transversal veins bear rather uniform &ldquo;teeth&rdquo;; each tooth has an acute spine pointing distally (Fig. 5 C-E). The underside of the left tegmen is inconspicuously shaped showing a prominent, sclerotized vein (Fig. 5 A, B). </p>","https://bio.acousti.ca/node/47351"
"47361","behaviour","<p>The quiet male calling song, produced mainly in the evening and at night, consists of long sequences of &#39;tick&#39;-like syllables, some a little louder than others. Sometimes the oouder ones alternate with the softer ones, and often a pair of sodter ones alternates with a single louder one; sometimes the seuence is less regular. The sequernces last for up to 20 s or longer and the overall syllable repetition rate is about 6-8/s; sometimes there is a short sequence of syllables of uniform loudness repeated at about half this rate. Each syllable lasts about 10-15 ms. </p>","https://bio.acousti.ca/node/47361"
"47363","behaviour","<p>The male calling song consists of isolated faint &#39;tick&#39;-like syllables repeated at very variable intervals. Sometimes they are repeated quite regularly every few seconds for long periods (intervals of 1-5 s are commomn), but t other times the intervals may be much longer and occassionally the syllables may be grouped into short sequences during which the repetition rate may be as high as 2/s; generally the syllables are repeated more rapidly at higher temperatures. The number of tooth-impacts within each syllable also varies greatly: 4-6 is common, but as few as 1 or as many as 9 sometimes occur. Frequently the main group of impacts (which is a closing hemisyllable) is followed after a variable interval (usually between 15 and 100 ms) by another one (rarely two), probably produced by a further closure of the fore wings. A hemisyllable of 4-6 impacts usually lasts between 8 and 20 ms.</p>
<p>The song is produced both suring the day and at night, but seldom durting the first few daylight hours of the morning. </p>","https://bio.acousti.ca/node/47363"
"47365","behaviour","<p>The male calling song is extremely similar to that of <em>L. punctatissima</em> in almost every respect, although the number of tooth-impacts in each hemisyllable tends to be larger (commonly in the range 5-12). </p>","https://bio.acousti.ca/node/47365"
"47367","behaviour","<p>Very simialr to [songs] of <em>L. punctatissima</em> and <em>L. albovittata</em>. In the calling songs of the only two males we have studied, the hemisyllables were repeated every 5-10 s, lasted about 20-27 ms and were composed of about 10-17 tooth impacts. </p>","https://bio.acousti.ca/node/47367"
"47369","behaviour","<p>Similar to those of the other <em>Leptophyes</em> species studied, but the syllable structure is often more complex, so that there are sometimes up to three or more groups of tooth-impacts separated by intervals of 15-35 ms; in such cases each group is composed of 3-10 tooth-impacts and lasts about 3-10 ms. In the male studied the syllables (whether simple or of the more complex kind described above) were repeated at intervals of 1-2 s, although Scmidt (1989) gives the much higher repetition rate of 8/s. </p>","https://bio.acousti.ca/node/47369"
"47371","behaviour","<p>The calling song of the male, produced mainly in warm sunshine, is loud, rather complex and highly characteristic. Typically it consists of a prolonged buzz of rapidly repeated syllables (often produced while the male moves through the vegetation) interrupted at lon intervals (often of 1-3 minutes) by a series of loud &#39;clicks&#39;. The syllable repetiton rate is usually within the range 15-35/s for most of the buzzing phase, but for a few seconds before the clicks are proiduced the rater is increased to about double this value, ranging from 25/s to 70/s or even faster. Oscillographic analysis shows that, during at least the prolonged slower buzz, each syllable is composed of two quite distinct sounds so that it appears to be a diplosyllable. Heller (1988) has shown, however, that both sounds are produced during the closing stroke of the fore wings, the opening stroke being very rapid and silent. This dual structure of the closing hemisyllable often persists during the more rapid buzz that preceds the clicks, but sometimes these more rapidly repeated hemisyllables become almost or copletely uniform bursts of sound. The slow hemisyllables usually last about 20-50 ms and the faster ones about 10-30 ms.</p>
<p>The acceleration in syllab;e repetition rate preceeding the clicks usually begins about 5-10 s before the first click, and generally lasts no more than a second or two until the maximum rate is achieved. Sometimes there is only a single click, but more often there are a series of clicks (often 2-6, but sometimes as many as 20 or more) with the buzzing continuing between them. When there are only a few clicks, they are repeated at ever descreasing intervals (the first interval usually being about 1-2 s); each click is followed by a very brief pause (usually within the range 50-150 ms) and then the high-speed buzzing is resumed until the next click. When there are a large number of clicks, the later ones are generally repeated at a fairly constant rate (often baout 5-7/s), and the buzzing between them becomes reduced to the slower of the two rates or even slower.</p>
<p>After the last click there is sometimes a pause of several seconds before the cycle begins again with a long period of slow-rate buzzing, but more often there is only a very short interval (less than 200 ms) and sometimes, especially if there are a large number of clicks, the buzzing follows immediately after the last click with no pause whatever. Sometimes there is a short period (usually about 1 s) of rapid buzzing after the last click before the syllable repetition rate is reduced to the slower rate.</p>
<p>Heller (1988) has shown that during the buzzing phase the fore wings are vibrated in a relatively open position, and the clicks are produced by the forewings being moved to a much more closed position, each click being a closing hemisyllable using a more proximal part of the file. </p>","https://bio.acousti.ca/node/47371"
"47372","behaviour","<p>Both pairs of wings are raised upwards until they are perpendicular to the body, and one of the hind feet is drummed on the substrate (e.g. the surface of a leaf). The other hind leg is extended backwards to act as a support. The drumming is extremely rapid and is in very short burts of less thn a second. There are usully a number of these burts, the first ones being of shorter duration than the remainder. The whole process lasts no more than a few seconds. During the drummin the abdomen also vibrates, but is held clear of the surface on which the insect is resting. </p>","https://bio.acousti.ca/node/47372"
"47373","behaviour","<p>There are some literature references to the males being able to produce a soft stridulation, but it seems that the main mode of communication is vibratory. The males issue a series of bursts of drumming on the substrate with one hind foot. </p>","https://bio.acousti.ca/node/47373"
"47375","behaviour","<p>The males drum with one hind foot, although the pattern of taps (from 3 to 7 in succession (Hawkins, 2001)) is somewhat differnet from that of the oak bush-cricket. </p>","https://bio.acousti.ca/node/47375"
"47378","behaviour","<p>The great green bush-cricket is nocturnal, but the males often sing from mid-afternoon onwards. The song is one of the loudest emitted by any British orthopteran, and cen be heard at distances of several meters (Ragge, 1965, says 200 metres, but this is presumably for those with better hearing than mine!). The tone is slightly metallic and rasping, and is produced in continuous, prolonged bursts. When singing the male appears to &#39;pump&#39; his abdomen rhythmically - presumably to anhance respiration. Even when singing the crypti ccoloration of a male perched among vegetation makes it very difficult to locate. There is some competition between males for song perches, and where the population is dense one may nip an intruder with his mandibles. The latter will usually dive down into lower vegetation. </p>","https://bio.acousti.ca/node/47378"
"47379","behaviour","<p>The male song is a prolonged, continuous buzz tthat can last for 10 minutes or more. In this respect the song reembles that of <em>M. roeselii</em>, but it is an almost pure tone of about 13 to 20 kHz (Hathway <em>et al</em>. report a somehwat higher lead frequency), and is delivered almost exclusively at night (Ragge &amp; Reynolds, 1998). </p>","https://bio.acousti.ca/node/47379"
"47381","behaviour","<p>[Dense grass] tufts are also used by the males as song perches. Unlike many bush-crickets, they sing most in the early part of the day - from mid-morning to early afternoon, and only during warm weather. The song is usually delivered from a perch on&nbsp; a grass tussock, and takes the form of prolonged bursts of repeated high-pitched clicks. The rate of repetition increases to about 10 clicks per second within a minute or so of the start of a burst. The volume of the song is quite low, and for many observers a bat detector is needed to locate it at more than a few metres distance. Males are also reported to emit short isolated chirps. </p>","https://bio.acousti.ca/node/47381"
"47383","behaviour","<p>The &#39;solo&#39; song of the male is a brief, high pitched chirp repeated at variable intervals of a few seconds. However, several males are often singing in close proximity to one another, and sometimes this results in a regular pattern of alternation between two adjacent males. When more than two males sing together, their chirps still are generally emitted separately to produce a non-synchronous &#39;chorus&#39; (Jones, 1963, 1966). The males can also emit a more prolonged chirp lasting approximately a second. This is considered to signify an aggressive interaction betweenmales, but is also occasionally emitted by males on the approach of females. In general, males do not appear to interact aggressively with one another. However, experimental work does show that the onset, termination, and timing of chirps are all affaected by the stridultion of other males (see Chapter 5). </p>","https://bio.acousti.ca/node/47383"
"47384","behaviour","<p>Le chant est plus doux et audible &agrave; 50 m. </p>","https://bio.acousti.ca/node/47384"
"47387","behaviour","<p>Le chant est fort, d&eacute;sagr&eacute;able, et audible &agrave; 200 m. </p>","https://bio.acousti.ca/node/47387"
"47391","behaviour","<p>The calling song of the male, often produced in prolonged bursts of up to a minute or more, is composed of two different kinds of sound, one quieter and one louder. The quieter sound consists of a long sequence of identical echemes following one another in quick succession of about 1-2/s., and often showing a gradual slight increase in loudness. Each echeme is is composed of about 12-30 syllables repeated at a rate of about 35-40/s and ends in a rather longer and louder syllable and a final &#39;click&#39;. Each syllable in the main part of the echeme lastas about 12-20 ms and tehfinal one, including the click, lasts about 50-80ms; there is teh a breif pause of about 50-100ms before teh next echeme begins. The whole echeme, from the beginning to the click, lasts about 0.5-1.0s.</p>
<p>The louder sound is an echeme of very variable duration (between 1 and 17 s in the songs studied), composed of syllables similar in duration to the quieter ones but repeated at the rate of 45-55/s, and usually ending in a series of about 5-8 microsyllables. This louder echeme is usually preceded and followed by quieter echeme-sequences (as in Fig. 177), but occassionally it is produced quite separately.</p>
<p>As in <em>P. denticulata</em> all the syllables seem to be closing hemisyllables, teh opening strokes of the fore wings produce little or no sound. </p>","https://bio.acousti.ca/node/47391"
"47393","behaviour","<p>The male calling song consists of faint &#39;tick&#39;-like syllables repeated at very variable intervals (most often 4-8 s). Each tick is a closing hemisyllable lasting about 20 ms. </p>","https://bio.acousti.ca/node/47393"
"47395","behaviour","<p>The male calling song is very similar to that of <em>P. ornatus</em>: single &#39;tick&#39;-like closing hemi-syllables repeated every 4-8 s, or occassionally more or less frequently than this. As in <em>P. ornatus</em> each hemisyllable lastas about 20 ms. </p>","https://bio.acousti.ca/node/47395"
