"id","scientificName","basisOfRecord","institutionCode","collectionCode","catalogNumber","otherCatalogNumbers","typeStatus","sex","lifeStage","individualCount","recordedBy","eventDate","identifiedBy","dateIdentified","identificationQualifier","associatedSequences","locality","countryCode","decimalLatitude","decimalLongitude","occurrenceRemarks","info_url"
"11246","Cyphoderris buckelli","LivingSpecimen","NHMUK","BMNH(E)","22?","","","Male","Adult","1","G. K. Morris","","","","","","","CA","49.853293","-119.272083","","https://bio.acousti.ca/node/11246"
"11248","Acrometopa macropoda","LivingSpecimen","NHMUK","BMNH(E)","25?","","","Male","Adult","1","J. C. Hartley","1982-08-01T00:00:00","J. C. Hartley","","","","","ME","42.431017","18.845952","","https://bio.acousti.ca/node/11248"
"11251","Anoedopoda erosa","LivingSpecimen","NHMUK","BMNH(E)","3?","","","Male","Adult","1","T. T. P. Boston","1970-07-01T00:00:00","David R. Ragge","","","","","UG","-0.250515","30.252747","","https://bio.acousti.ca/node/11251"
"11253","Anoedopoda lamellata","LivingSpecimen","NHMUK","BMNH(E)","010210935","","","Male","Adult","1","W. J. Bailey","1970-07-14T00:00:00","David R. Ragge","","","","Low tree","UG","0.074686","30.100601","","https://bio.acousti.ca/node/11253"
"11255","Anonconotus alpinus","LivingSpecimen","NHMUK","BMNH(E)","010210913","","","Male","Adult","1","R. G. M. Ragge","1977-08-15T00:00:00","David R. Ragge","","","","Stony hillside with conifers and grassy areas","FR","44.171185","5.284424","","https://bio.acousti.ca/node/11255"
"11258","Anonconotus alpinus","LivingSpecimen","NHMUK","BMNH(E)","010210914","","","Male","Adult","1","M. Chinery","1977-04-18T00:00:00","B. C. Townsend","","","","","FR","44.17439","5.278952","","https://bio.acousti.ca/node/11258"
"11781","Platypleura ""intercapedinis""","PreservedSpecimen","AMGS","MHV Cicadas","944","","","","","","","2007-12-09T00:00:00","Ben Price","","","","Southbroom","ZA","-30.918","30.313","","https://bio.acousti.ca/node/11781"
"11782","Platypleura ""intercapedinis""","PreservedSpecimen","AMGS","MHV Cicadas","945","","","","","","Ben Price","2007-12-15T00:00:00","","","","","Ingwe Lodge, Makhado","ZA","-22.964","29.935","","https://bio.acousti.ca/node/11782"
"11783","Platypleura ""intercapedinis""","PreservedSpecimen","AMGS","MHV Cicadas","947","","","","","","Ben Price","2007-12-16T00:00:00","","","","","Morning Sun Ranch, Makhado","ZA","-22.94","29.876","","https://bio.acousti.ca/node/11783"
"11784","","PreservedSpecimen","AMGS","MHV Cicadas","948","","","","","","Ben Price","2007-12-15T00:00:00","","","","","Morning Sun Ranch, Makhado","ZA","-22.944","29.891","","https://bio.acousti.ca/node/11784"
"11785","Platypleura ""intercapedinis""","PreservedSpecimen","AMGS","MHV Cicadas","952","","","","","","Ben Price","2007-12-11T00:00:00","","","","","Umlalazi N.R. Mtunzini","ZA","-28.956","31.772","","https://bio.acousti.ca/node/11785"
"11786","Platypleura argentata","PreservedSpecimen","AMGS","MHV Cicadas","937","","","","","","Ben Price","2007-12-08T00:00:00","","","","","Trafalgar","ZA","-30.959","30.295","","https://bio.acousti.ca/node/11786"
"11787","Brevisiana brevis","PreservedSpecimen","AMGS","MHV Cicadas","959","","","","","","Ben Price","2007-12-16T00:00:00","","","","","Morning Sun Ranch, Makhado","ZA","-22.944","29.905","","https://bio.acousti.ca/node/11787"
"11788","Brevisiana brevis","PreservedSpecimen","AMGS","MHV Cicadas","1408","","","","","","Ben Price","2008-12-06T00:00:00","","","","","M1 N Dedza","","-14.306","34.178","","https://bio.acousti.ca/node/11788"
"11789","Platypleura brunea","PreservedSpecimen","AMGS","MHV Cicadas","946","","","","","","Ben Price","2007-12-20T00:00:00","","","","","Queenstown","ZA","-31.895","26.893","","https://bio.acousti.ca/node/11789"
"11790","Platypleura brunea","PreservedSpecimen","AMGS","MHV Cicadas","950","","","","","","Ben Price","2007-12-05T00:00:00","","","","","Haga Haga","ZA","-32.759","28.25","","https://bio.acousti.ca/node/11790"
"11791","Platypleura capensis","PreservedSpecimen","AMGS","MHV Cicadas","274","","","","","","M.H. Villet; Ben Price","2005-12-17T00:00:00","","","","DQ912434, EF134537","Arniston","ZA","-34.661","20.22","","https://bio.acousti.ca/node/11791"
"11792","Platypleura capensis","PreservedSpecimen","AMGS","MHV Cicadas","277","","","","","","M.H. Villet; Ben Price","2005-12-17T00:00:00","","","","DQ912437, EF134544","4km W Die Dam","ZA","-34.75","19.678","","https://bio.acousti.ca/node/11792"
"11793","Platypleura capensis","PreservedSpecimen","AMGS","Audio","1489","","","","","","M.H. Villet; Ben Price","2009-02-07T00:00:00","","","","","Gamtoos Pass","ZA","-33.912","25.05","","https://bio.acousti.ca/node/11793"
"11795","Platypleura cf. brunea","PreservedSpecimen","AMGS","Audio","949","","","","","","Ben Price","2007-12-08T00:00:00","","","","","Liesure Bay","ZA","-31.015","30.234","","https://bio.acousti.ca/node/11795"
"11796","Platypleura cf. brunea","PreservedSpecimen","AMGS","Audio","953","","","","","","Ben Price","2007-12-10T00:00:00","","","","","Nkandhla Forest","ZA","-28.71","31.143","","https://bio.acousti.ca/node/11796"
"11797","Platypleura cf. catenata","PreservedSpecimen","AMGS","Audio","283","","","","","","M.H. Villet; Ben Price","2005-12-18T00:00:00","","","","DQ912464, EF134600","Sir Lowry's Pass","ZA","-34.135","18.925","","https://bio.acousti.ca/node/11797"
"11798","Platypleura cf. catenata","PreservedSpecimen","AMGS","Audio","286","","","","","","M.H. Villet; Ben Price","2005-12-18T00:00:00","","","","","Grabow","ZA","-34.162","19.011","","https://bio.acousti.ca/node/11798"
"11799","Platypleura cf. catenata","PreservedSpecimen","AMGS","Audio","288","","","","","","M.H. Villet; Ben Price","2005-12-18T00:00:00","","","","","Houwhoek Pass","ZA","-34.229","19.188","","https://bio.acousti.ca/node/11799"
"11800","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","318","","","","","","M.H. Villet","2005-12-21T00:00:00","","","","DQ912427, EF134532","Prince Albert Pass","ZA","-33.865","23.153","","https://bio.acousti.ca/node/11800"
"11802","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","393","","","","","","M.H. Villet","2005-01-01T00:00:00","","","","DQ912471, EF134567","N2 nr Humansdorp","ZA","-34.054","24.493","","https://bio.acousti.ca/node/11802"
"11803","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","607","","","","","","Ben Price","2007-01-05T00:00:00","","","","","20km W Swellendam R324","ZA","-34.011","20.623","","https://bio.acousti.ca/node/11803"
"11805","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","608","","","","","","Ben Price","2007-01-05T00:00:00","","","","","R328 Robinson Pass","ZA","-33.982","22.042","","https://bio.acousti.ca/node/11805"
"11806","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","835","","","","","","Ben Price; M.H. Villet","2007-12-29T00:00:00","","","","","Swartberg Pass","ZA","-33.368","22.102","","https://bio.acousti.ca/node/11806"
"11808","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","900","","","","","","M.H. Villet; Ben Price","2008-01-01T00:00:00","","","","","Tradouws Pass","ZA","-33.924","20.711","","https://bio.acousti.ca/node/11808"
"11809","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","903","","","","","","M.H. Villet; Ben Price","2007-12-31T00:00:00","","","","","nr Witrivier","ZA","-33.511","19.193","","https://bio.acousti.ca/node/11809"
"11810","Platypleura cf. catenata","PreservedSpecimen","AMGS","MHV Cicadas","1017","","","","","","Ben Price; M.H. Villet","2008-01-17T00:00:00","","","","","10km E Hankey","ZA","-33.841","24.991","","https://bio.acousti.ca/node/11810"
"11823","Decticus verrucivorus","LivingSpecimen","AMGS","MHV Cicadas","1427995","BMNH 1978/461","","Male","Adult","1","W. J. Reynolds","1978-09-14T00:00:00","W. J. Reynolds","","","","near Saillagiuse, 1km S. of Eyne","FR","42.456318","2.060016","","https://bio.acousti.ca/node/11823"
"11825","Decticus verrucivorus","LivingSpecimen","AMGS","MHV Cicadas","1427996","","","Male","Adult","1","M. J. Samways","1972-07-21T00:00:00","M. J. Samways","","","","5km E. of Lunel","FR","43.670258","4.229076","","https://bio.acousti.ca/node/11825"
"11836","Platypleura cf. chalybaea","PreservedSpecimen","AMGS","MHV Cicadas","941","","","","","","Ben Price","2007-12-07T00:00:00","","","","","nr Coffee Bay","ZA","-31.911","28.961","","https://bio.acousti.ca/node/11836"
"11837","Platypleura cf. chalybaea","PreservedSpecimen","AMGS","MHV Cicadas","943","","","","","","Ben Price","2007-12-08T00:00:00","","","","","Port St. Johns","ZA","-31.64","29.515","","https://bio.acousti.ca/node/11837"
"11838","Platypleura chalybaea","PreservedSpecimen","AMGS","MHV Cicadas","914","","","","","","Ben Price","2008-01-12T00:00:00","","","","","Horns-up Pub, Kenton","ZA","-33.653","26.653","","https://bio.acousti.ca/node/11838"
"11839","Platypleura chalybaea","PreservedSpecimen","AMGS","MHV Cicadas","1022","","","","","","Ben Price; M.H. Villet","2008-01-17T00:00:00","","","","","Zuurberg Pass","ZA","-33.381","25.714","","https://bio.acousti.ca/node/11839"
"11840","Platypleura deusta","PreservedSpecimen","AMGS","MHV Cicadas","514","","","","","","M.H. Villet","2006-12-22T00:00:00","","","","","Nico Malan Pass","ZA","-32.383","26.91","","https://bio.acousti.ca/node/11840"
"11841","Platypleura deusta","PreservedSpecimen","AMGS","MHV Cicadas","990","","","","","","Ben Price","2007-12-17T00:00:00","","","","","N1 nr Harrismith","ZA","-28.318","29.187","","https://bio.acousti.ca/node/11841"
"11842","Platypleura deusta","PreservedSpecimen","AMGS","MHV Cicadas","991","","","","","","Ben Price","2007-12-19T00:00:00","","","","","Woodcliffe Farm nr Maclear","ZA","-30.994","28.19","","https://bio.acousti.ca/node/11842"
"11843","Platypleura deusta","PreservedSpecimen","AMGS","MHV Cicadas","992","","","","","","Ben Price","2007-12-14T00:00:00","","","","","R533 nr Grasskop","ZA","-24.952","30.846","","https://bio.acousti.ca/node/11843"
"11844","Platypleura deusta","PreservedSpecimen","AMGS","MHV Cicadas","993","","","","","","Ben Price","2007-12-13T00:00:00","","","","","R543 nr Piet Retief","ZA","-27.281","30.358","","https://bio.acousti.ca/node/11844"
"11845","Platypleura deusta","PreservedSpecimen","AMGS","MHV Cicadas","994","","","","","","Ben Price","2007-12-18T00:00:00","","","","","Fort Nottingham","ZA","-29.376","29.993","","https://bio.acousti.ca/node/11845"
"11846","Platypleura divisa","PreservedSpecimen","AMGS","MHV Cicadas","515","","","","","","M.H. Villet","2006-12-22T00:00:00","","","","","10km S Whittlesea","ZA","-32.256","26.863","","https://bio.acousti.ca/node/11846"
"11847","Platypleura divisa","PreservedSpecimen","AMGS","MHV Cicadas","954","","","","","","Ben Price","2007-12-17T00:00:00","","","","","R74 nr Harrismith","ZA","-28.563","29.072","","https://bio.acousti.ca/node/11847"
