"source","source_id","annotator","annotation_id","annotation_date","annotation_info_url","recording_url","recording_info_url","time_start","time_end","taxon","type","lat","lon","contact"
"bio.acousti.ca","10183","Edward Baker","222","2016-10-17 13:21","view","http://bio.acousti.ca/sites/default/files/572_14_Metrioptera_roesselii_748a.wav","http://bio.acousti.ca/content/57214-metrioptera-roesselii-748a","40.80352","97.89412","Metrioptera roeselli","Call","","","222"
"bio.acousti.ca","9123","Edward Baker","223","2016-10-17 13:24","view","http://bio.acousti.ca/sites/default/files/399-3_Conocephalus_discolor_409_.wav","http://bio.acousti.ca/node/9123","0","39.96154","Conocephalus discolor","Voice Introduction","","","223"
"bio.acousti.ca","9123","Edward Baker","224","2016-10-17 13:26","view","http://bio.acousti.ca/sites/default/files/399-3_Conocephalus_discolor_409_.wav","http://bio.acousti.ca/node/9123","42.21464","108.2925","Conocephalus discolor","Call","","","224"
"bio.acousti.ca","11062","Edward Baker","225","2016-10-17 13:29","view","http://bio.acousti.ca/sites/default/files/896_9_Conocephalus_discolor_61r4.wav","http://bio.acousti.ca/node/11062","25.64985","45.98026","Conocephalus discolor","Call","","","225"
"bio.acousti.ca","11120","Edward Baker","228","2016-10-17 13:44","view","http://bio.acousti.ca/sites/default/files/991_4_Gryllus_campestris_142r4.wav","http://bio.acousti.ca/node/11120","0","34.40213","Gryllus Gryllus campestris","Voice Introduction","","","228"
"bio.acousti.ca","11120","Edward Baker","229","2016-10-17 13:45","view","http://bio.acousti.ca/sites/default/files/991_4_Gryllus_campestris_142r4.wav","http://bio.acousti.ca/node/11120","34.90298","59.04012","Gryllus Gryllus campestris","Call","","","229"
"bio.acousti.ca","9062","Edward Baker","230","2016-10-17 13:49","view","http://bio.acousti.ca/sites/default/files/394-9_Nemobius_sylvestris_363_.wav","http://bio.acousti.ca/node/9062","1.265756","37.21024","Nemobius sylvestris","Voice Introduction","","","230"
"bio.acousti.ca","9062","Edward Baker","231","2016-10-17 13:50","view","http://bio.acousti.ca/sites/default/files/394-9_Nemobius_sylvestris_363_.wav","http://bio.acousti.ca/node/9062","51.34381","90.55708","Nemobius sylvestris","Call","","","231"
"bio.acousti.ca","11293","Edward Baker","232","2016-10-17 13:52","view","http://bio.acousti.ca/sites/default/files/Mole%20Cricket%2019-05-2014%20clip%20three%20%283%29%20%20BRIAN%20HARRISON.wav","http://bio.acousti.ca/node/11293","0","48.02503","Gryllotalpa gryllotalpa","Call","","","232"
"bio.acousti.ca","13631","Edward Baker","233","2016-10-17 13:54","view","http://bio.acousti.ca/sites/default/files/Mole%20Cricket3%20well%20established%209.35%20pm%208May2016%20PAUL%20BROCK%20DSC_0910.mp3","http://bio.acousti.ca/content/mole-cricket3-well-established-935-pm-8may2016-paul-brock-dsc0910","0","24.15698","Gryllotalpa gryllotalpa","Call","","","233"
